text,label,word_count,char_count
STOCK   JPMorgan reels in expectations on Beyond Meat HTTPS_URL,0,11,77
STOCK STOCK   Nomura points to bookings weakness at Carnival and Royal Caribbean HTTPS_URL,0,15,102
"STOCK   Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook HTTPS_URL",0,15,94
STOCK  BTIG Research cuts to Neutral HTTPS_URL,0,8,59
STOCK   Funko slides after Piper Jaffray PT cut HTTPS_URL,0,11,71
STOCK   TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank HTTPS_URL,0,15,102
STOCK   GM loses a bull HTTPS_URL,0,8,45
STOCK  Deutsche Bank cuts to Hold HTTPS_URL,0,8,55
STOCK  Cowen cuts to Market Perform,0,7,34
STOCK STOCK STOCK   Trendforce cuts iPhone estimate after Foxconn delay HTTPS_URL,0,13,97
STOCK   Moody s warns on Harley Davidson HTTPS_URL,0,10,63
"STOCK   Citing aero ties, Wells slashes PT on Hexcel HTTPS_URL",0,12,75
STOCK   Intelsat cut to Market Perform at Raymond James HTTPS_URL,0,12,76
STOCK  Compass Point cuts to Sell HTTPS_URL,0,8,56
STOCK   Muddy Waters goes short Luckin Coffee HTTPS_URL,0,10,67
STOCK   ManTech downgraded ahead of difficult comps HTTPS_URL,0,10,75
STOCK  Oppenheimer cuts to Perform,0,6,34
STOCK STOCK   MPLX cut at Credit Suisse on potential dilution from Marathon strategic review HTTPS_URL,0,17,115
STOCK   Imperial downgrades MSG Networks amid sports free airwaves HTTPS_URL,0,12,90
STOCK   Piper hits the Materialise sidelines HTTPS_URL,0,9,68
STOCK  Hovde Group cuts to Market Perform,0,8,41
STOCK   New Netflix bear steps out HTTPS_URL,0,9,58
STOCK   Shopify loses a bull HTTPS_URL,0,8,52
STOCK   Nomura Instinet loses confidence in Extended Stay America HTTPS_URL,0,12,89
STOCK   Twilio gets Street low target on virus risk HTTPS_URL,0,12,75
STOCK STOCK STOCK   Guggenheim s Minerd sees more gloom ahead in stocks HTTPS_URL,0,15,95
STOCK STOCK STOCK   MoffettNathanson expects NFL TV costs to skyrocket HTTPS_URL,0,13,94
STOCK  Barrington Research cuts to Mkt Perform HTTPS_URL,0,9,70
STOCK   Mizuho cuts XLNX target on near term headwinds HTTPS_URL,0,12,78
2U downgraded to sector weight from overweight at KeyBanc Capital,0,10,65
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook HTTPS_URL,0,13,96
AMC Networks price target cut to $35 from $39 at Imperial Capital,0,12,65
American Software downgraded to neutral from buy at B. Riley FBR,0,11,64
Analysts question Silicon Motion s margin outlook,0,7,49
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,10,79
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,14,65
AT T downgraded by MoffettNathanson to sell on concern wireless can t carry the whole company,0,16,93
AT T shares sink after MoffettNathanson downgrade,0,7,49
"AT T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,12,89
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,13,79
Autodesk downgraded to underweight from neutral at JPMorgan,0,8,59
BAML warns of profit pressure for Hormel,0,7,40
Barclays cools on Molson Coors,0,5,30
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,11,74
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,11,79
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,11,75
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,11,79
Bluebird bio downgraded to in line from outperform at Evercore ISI,0,11,66
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,0,13,68
Canada Goose downgraded to buy from strong buy at CFRA,0,10,54
Canada Goose stock price target cut to $50 from $65 at CFRA,0,12,59
Children s Place downgraded as e commerce puts margins at risk,0,11,62
Children s Place price target cut to $80 from $105 at Monness Crespi Hardt,0,14,74
Cinedigm Corp. Analysts Are Cutting Their Estimates  Here s What You Need To Know,0,15,81
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,0,13,69
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,0,14,86
"Dell, HPE targets trimmed on compute headwinds",0,7,46
Dish may not be key winner amid Intelsat woes   analyst,0,12,55
Disney downgraded as analyst says parks attendance could take 2 years to  normalize  HTTPS_URL,0,16,108
Downgrades 11 25  STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK,0,22,115
Downgrades 4 7  STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK STOCK  HTTPS_URL,0,25,138
Dropbox on watch after stinging Spruce Point report,0,8,51
"Earnings Update  electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",0,13,90
Evercore downgrades bluebird bio and Clovis in premarket analyst action,0,10,71
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites  unintended consequences  of CARES Act HTTPS_URL",0,18,123
Forescout downgraded to neutral from buy at Monness Crespi Hardt,0,10,64
FormFactor cut on  unsustainable  revenue outlook,0,8,49
Funko downgraded to hold from buy at Stifel Nicolaus,0,9,52
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,0,12,63
GM stock price target cut to $30 from $32 at Deutsche Bank,0,12,58
Grubhub gains a bear on margin view,0,7,35
H P downgraded at Argus as drilling industry weakness seen persisting,0,11,69
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,0,13,71
Helmerich   Payne started at sell with $34 stock price target at Deutsche Bank,0,15,78
Hexo stock price target cut to C$5 from C$6 at MKM Partners,0,12,59
Home Depot stock price target cut to $237 from $240 at Instinet,0,12,63
Intelsat downgraded to underweight from neutral at J.P. Morgan,0,9,62
Intelsat lower after Morgan Stanley target cut,0,7,46
Jefferies warns on L Brands,0,5,27
Kohl s stock price target cut to $48 from $52 at Deutsche Bank,0,13,62
Kohl s stock price target cut to $50 from $53 at Wedbush,0,12,56
L Brands stock price target cut to $16 from $20 at Wedbush,0,12,58
Lovesac stock price target cut to $28 vs. $33 at Canaccord,0,11,58
Lyft stock price target cut to $58 from $70 at Deutsche Bank,0,12,60
Macerich downgraded to underweight from sector weight at KeyBanc Capital,0,10,72
Marinus Pharma stock price target cut to $6 from $7 at Leerink,0,12,62
Methanex downgraded at TD Securities on valuation,0,7,49
Metro Inc. Just Missed Earnings And Its EPS Looked Sad   But Analysts Have Updated Their Models,0,18,95
Mid America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,0,13,96
Mitek Systems stock price target cut to $11 from $14 at Benchmark,0,12,65
Napco Security stock price target cut to $30 from $35 at Imperial Capital,0,13,73
Needham s Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0,11,76
Netflix downgraded to  underperform  at Needham,0,8,47
Netflix stock falls after Wells Fargo turns bearish,0,8,51
New Netflix bear steps out,0,5,26
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",0,13,76
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,0,11,65
Novo Nordisk downgraded by UBS on concerns over drug launch cost,0,11,64
Oppenheimer cuts estimates on Yum China,0,6,39
Orbcomm price target lowered to $9 at Canaccord,0,8,47
O Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,0,14,75
Patterson UTI Energy started at sell with $7 stock price target at Deutsche Bank,0,14,80
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,0,12,81
Rio Tinto downgraded to neutral from overweight at J.P. Morgan,0,10,62
"Rosenblatt Projects 47  Downside In Apple Shares, Warns Of Drop In iPhone Production",0,14,84
Royal Caribbean downgraded to sell from buy at CFRA,0,9,51
Royal Caribbean stock price target cut to $100 from $135 at CFRA,0,12,64
Royal Caribbean s stock falls after CFRA swings to bearish on  more dire  coronavirus assessment,0,17,96
Scandinavian Tobacco Group A S Earnings Missed Analyst Estimates  Here s What Analysts Are Forecasting Now,0,17,106
Sherwin Williams cut from Conviction Buy at Goldman on valuation,0,10,64
Sirius downgraded on valuation,0,4,30
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth HTTPS_URL,0,10,91
SunTrust latest to trim Nielsen target,0,6,38
Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,0,12,66
Take Two downgraded on murky game slate,0,7,39
Take Two Interactive stock price target cut to $124 from $133 at MKM Partners,0,14,77
Target Hospitality downgraded to perform from outperform at Oppenheimer,0,9,71
Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,0,11,78
"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",0,13,87
Transocean started at sell with $3 stock price target at Deutsche Bank,0,12,70
Ultra Clean downgraded to hold from buy at Stifel Nicolaus,0,10,58
Wells Fargo Downgrades Netflix STOCK to Underperform but sees as a takeover target. NFLX could get acquired  NFLX i  HTTPS_URL,0,22,140
Wells Fargo Downgrades Netflix On Spending Concerns,0,7,51
"Wells Fargo downgrades Netflix   If content is king, then cash is queen  HTTPS_URL",0,16,96
Welltower stock price target cut to $90 from $95 at J.P. Morgan,0,12,63
WWE stock price target cut to $57 from $79 at Benchmark,0,11,55
STOCK  Dougherty   Company starts at Buy,1,9,40
STOCK   AMD s Navi shows strong adoption   BofA HTTPS_URL,1,13,70
STOCK  BMO Capital Markets ups to Outperform,1,8,45
STOCK  Lake Street starts at Buy,1,7,31
STOCK  S P Raises Centene Corp. Rtg To BBB  From BB   Outlk Stable,1,17,66
STOCK   Citi gives big boost to Deere PT HTTPS_URL,1,11,62
STOCK   Guggenheim sees favorable catalysts for eBay HTTPS_URL,1,10,76
STOCK   Freeport upgraded as Credit Suisse sees big buying opportunity HTTPS_URL,1,13,93
STOCK  BTIG Research starts at Buy HTTPS_URL,1,8,58
"STOCK   Franco Nevada will not need more funding despite suspensions, analyst says HTTPS_URL",1,15,105
STOCK  Cantor Fitzgerald resumes at Overweight,1,7,45
STOCK   Morgan Stanley sees GM doubling in bull case scenario HTTPS_URL,1,13,83
STOCK  Barclays starts at Overweight,1,6,36
STOCK   Hasbro gains after UBS upgrade HTTPS_URL,1,9,61
"STOCK   New HTTPS_URL bull praises acceleration, margin profile HTTPS_URL",1,11,99
STOCK  Barclays ups to Overweight,1,6,31
STOCK   JPMorgan constructive on Kraft Heinz HTTPS_URL,1,9,67
STOCK  Compass Point ups to Neutral,1,7,34
STOCK   Lowe s racks up another positive rating despite recession risk HTTPS_URL,1,14,93
STOCK   Lam target boosted on  compelling  setup HTTPS_URL,1,12,72
STOCK  Barclays starts at Overweight HTTPS_URL,1,7,60
"STOCK STOCK   Bull sees 2020 upsides for MU, WDC HTTPS_URL",1,12,69
STOCK Rated buy HTTPS_URL,1,4,38
STOCK   SunTrust expecting Netflix to post strong user growth HTTPS_URL,1,12,85
STOCK   Nvidia set for gaming tailwinds   BofA HTTPS_URL,1,12,70
STOCK   BTIG sees  material improvement  to Ocwen book value HTTPS_URL,1,14,83
STOCK  Cowen starts at Outperform,1,6,33
STOCK  BMO Capital Markets starts at Outperform,1,8,47
STOCK   Evercore starts RingCentral at Outperform HTTPS_URL,1,9,72
STOCK STOCK STOCK   MoffettNathanson boosts SBAC to Buy HTTPS_URL,1,11,78
STOCK   Loop turns bullish on Snap ad growth HTTPS_URL,1,11,68
STOCK  Lake Street starts at Buy,1,7,32
STOCK   Cowen sees upside in TENB s Indegy purchase HTTPS_URL,1,12,75
"STOCK STOCK   Uber, Lyft can raise prices to profit   Barclays HTTPS_URL",1,15,86
STOCK  Maxim Group ups to Buy,1,7,29
STOCK  Compass Point ups to Buy,1,7,30
STOCK   New Zscaler bull sees  sustainable  growth  shares  4  HTTPS_URL,1,17,84
"Activision, Take Two charts look  constructive  as Wells Fargo gets bullish on video game plays  Trader STOCK STOCK  HTTPS_URL",1,23,140
Adobe stock price target raised to $315 vs. $290 at Wedbush,1,11,59
Adobe stock price target raised to $318 vs. $310 at Instinet,1,11,60
Aegis Capital positive on Netflix usage trend,1,7,45
"After a 60  drop in 6 months, Bank of America says buy pot stock Canopy",1,16,71
Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity,1,13,82
Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus,1,13,79
Allergan upgraded to buy from neutral at UBS,1,8,44
Altria stock price target raised to $54 from $50 at Stifel Nicolaus,1,12,67
Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,1,13,76
"An analyst at Loop Capital upgrades STOCK  to buy from hold, citing higher revenue growth potential.  HTTPS_URL",1,19,125
Analyst  AT T Is The Top Telecom Pick For 2020,1,11,46
Analysts Mostly Bullish On Newly Public Insurance Firm BRP Group,1,10,64
Analysts See 18  Gains Ahead For The Holdings Of The First Trust Dow Jones Internet Index Fund ETF,1,19,98
Ansys stock price target raised to $265 from $235 at Benchmark,1,11,62
Anthem stock price target raised to $330 from $300 at SunTrust RH,1,12,65
Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,1,14,92
arGen X stock price target raised to $255 vs. $203 at Instinet,1,12,62
Armata Pharmaceuticals started at buy with $8 stock price target at Maxim Group,1,13,79
Arrow Electronics stock price target raised to $87 vs. $84 at SunTrust Robinson Humphrey,1,14,88
"Asset Management One Co. has a bullish call on Treasuries. One for the long, long run HTTPS_URL",1,17,109
Audentes Therapeutics stock price target raised to $40 from $34 at Evercore ISI,1,13,79
Audentes Therapeutics upgraded to outperform from in line at Evercore ISI,1,11,73
Axcelis Technologies stock price target raised to $32 from $24 at Benchmark,1,12,75
Baird bullish on beat up Canada Goose,1,7,37
Baird likes drug wholesalers in premarket analyst action,1,8,56
Baird returns to Wingstop bull camp,1,6,35
Baker Hughes started at buy with $32 stock price target at Deutsche Bank,1,13,72
Bank of America stock price target raised to $49 from $48 at Oppenheimer,1,13,72
Barclays analysts says Uber and Lyft are well positioned to achieve profitability HTTPS_URL,1,13,105
"Bausch Health upgraded to overweight from neutral at JPMorgan, price target raised to $38 from $32",1,16,98
Bed Bath   Beyond reiterated as buy at BofA Merrill Lynch,1,12,57
Belden stock price target raised to $56 vs. $54 at SunTrust Robinson Humphrey,1,13,77
Benchmark says this roof supplier is a Buy,1,8,42
Bernstein turns bullish on VMware s valuation,1,7,45
Berry Petroleum upgraded to sector weight from underweight at KeyBanc Capital,1,11,77
Best Buy stock price target raised to $105 from $86 at Oppenheimer,1,12,66
Biogen stock price target raised to $392 from $320 at Instinet,1,11,62
Biogen stock price target raised to $410 from $350 at SVB Leerink,1,12,65
Boeing stock price target raised to $427 from $406 at CFRA,1,11,58
"BofA Upgrades WestRock After Containerboard Conference, London Pulp Week",1,9,72
"Bouygues SA Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",1,13,90
BTIG expects Domino s to boost buybacks,1,7,39
BTIG sees  material improvement  to Ocwen book value,1,10,52
"Bull sees 2020 upsides for MU, WDC",1,7,34
Cabot upgraded to buy from neutral at UBS,1,8,41
"Canada Goose upgraded to outperform from neutral at Baird, price target C$53",1,12,76
Capital Southwest initiated at outperform at Raymond James with $23.50 price target,1,12,83
Celanese stock price target raised to $120 vs. $111 at BofA Merrill Lynch,1,13,73
